time,measurement,value
2023-08-10 07:46:03.019601+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:03.180898+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:03.338139+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:03.547113+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:03.703640+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:03.921807+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:04.394226+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:04.603185+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:04.869097+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:05.019970+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:05.758291+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:06.089019+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:06.250490+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:06.411858+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:06.562550+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:06.819523+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:07.179572+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:07.622253+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:07.807079+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:07.963734+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:08.247766+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:08.514586+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:08.664766+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:09.190298+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:09.352168+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:09.507329+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:09.824654+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:10.087718+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:10.248214+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:10.412174+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:10.560815+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:10.777658+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:11.201230+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:11.628210+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:11.788242+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:11.991668+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:12.198537+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:12.463862+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:12.620593+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:12.824177+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:13.299034+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:14.050036+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:14.243585+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:14.598543+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:14.772830+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:14.979877+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:15.133723+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:15.340061+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:15.598403+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:15.759848+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:15.967756+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:16.200666+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:16.410362+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:16.735512+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:16.992762+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:17.201050+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:17.400378+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:17.775568+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:18.061396+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:18.274254+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:18.620832+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:19.280103+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:19.489128+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:19.642936+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:20.182912+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:20.333498+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:20.488684+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:20.650042+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:20.814345+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:20.965044+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:21.986850+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:22.351595+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:22.553443+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:22.805208+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:23.171453+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:23.634040+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:24.066299+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:24.616128+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:24.968573+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:25.308854+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:25.592617+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:25.784916+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:26.350351+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:26.556396+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:26.834511+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:26.995222+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:27.352978+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:27.566593+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:27.729691+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:27.891916+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:28.455229+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:28.613032+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:28.842693+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:29.157552+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:29.311956+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:29.629952+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:29.789977+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:29.998109+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:30.524285+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:31.050033+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:31.265364+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:31.488455+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:31.696867+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:32.018788+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:32.172285+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:32.323260+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:32.689820+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:32.864532+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:33.017596+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:33.587977+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:33.919860+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:34.080424+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:34.290350+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:34.442682+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:34.817769+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:35.182080+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:35.435421+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:35.755508+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:36.240096+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:36.824972+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:37.360566+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:37.978862+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:38.191215+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:38.394375+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:38.794727+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:39.166276+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:39.422259+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:39.629918+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:39.839108+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:40.044288+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:40.394120+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:40.596250+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:41.068857+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:41.223118+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:41.435518+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:41.594792+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:41.763412+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:41.915191+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:42.067485+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:42.272179+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:42.634060+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:42.964730+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:43.175024+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:43.553530+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:43.777575+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:44.002238+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:44.349026+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:44.552797+00:00,dc_bus_voltage,0.0
2023-08-10 07:46:44.787708+00:00,dc_bus_voltage,0.0
